ccm,scm,usm,coords
0,4,0,"[[1013, 1282], [1052, 1280], [1053, 1301], [1011, 1302]]"
0,4,1,"[[1452, 1045], [1451, 1004], [1472, 1004], [1472, 1046]]"
0,4,2,"[[1416, 1045], [1415, 1004], [1436, 1004], [1436, 1046]]"
0,4,3,"[[1390, 1045], [1389, 1004], [1410, 1004], [1410, 1046]]"
0,4,4,"[[1358, 1045], [1357, 1004], [1378, 1004], [1378, 1046]]"
0,4,5,"[[1336, 1045], [1335, 1004], [1356, 1004], [1356, 1046]]"
0,4,6,"[[1317, 1045], [1316, 1004], [1337, 1004], [1337, 1046]]"
0,4,7,"[[1289, 1045], [1288, 1004], [1309, 1004], [1309, 1046]]"
0,4,8,"[[1242, 1012], [1281, 1010], [1282, 1031], [1240, 1032]]"
0,4,9,"[[1242, 1032], [1281, 1030], [1282, 1051], [1240, 1052]]"
0,4,10,"[[1242, 1052], [1281, 1050], [1282, 1071], [1240, 1072]]"
0,4,11,"[[1242, 1079], [1281, 1077], [1282, 1098], [1240, 1099]]"
0,4,12,"[[1242, 1099], [1281, 1097], [1282, 1118], [1240, 1119]]"
0,4,13,"[[1242, 1119], [1281, 1117], [1282, 1138], [1240, 1139]]"
0,4,14,"[[1289, 1145], [1288, 1104], [1309, 1104], [1309, 1146]]"
0,4,15,"[[1316, 1145], [1315, 1104], [1336, 1104], [1336, 1146]]"
0,4,16,"[[1336, 1145], [1335, 1104], [1356, 1104], [1356, 1146]]"
0,4,17,"[[1357, 1145], [1356, 1104], [1377, 1104], [1377, 1146]]"
0,4,18,"[[1384, 1145], [1383, 1104], [1404, 1104], [1404, 1146]]"
0,4,19,"[[1403, 1145], [1402, 1104], [1423, 1104], [1423, 1146]]"
0,4,20,"[[1142, 1121], [1181, 1119], [1182, 1140], [1140, 1141]]"
0,4,21,"[[1142, 1101], [1181, 1099], [1182, 1120], [1140, 1121]]"
0,4,22,"[[1142, 1081], [1181, 1079], [1182, 1100], [1140, 1101]]"
0,4,23,"[[1142, 1052], [1181, 1050], [1182, 1071], [1140, 1072]]"
0,4,24,"[[1142, 1033], [1181, 1031], [1182, 1052], [1140, 1053]]"
0,4,25,"[[1142, 1010], [1181, 1008], [1182, 1029], [1140, 1030]]"
0,4,26,"[[1142, 984], [1181, 982], [1182, 1003], [1140, 1004]]"
0,4,27,"[[1142, 964], [1181, 962], [1182, 983], [1140, 984]]"
0,4,28,"[[1142, 944], [1181, 942], [1182, 963], [1140, 964]]"
0,4,29,"[[1142, 915], [1181, 913], [1182, 934], [1140, 935]]"
0,4,30,"[[1142, 898], [1181, 896], [1182, 917], [1140, 918]]"
0,4,31,"[[1142, 879], [1181, 877], [1182, 898], [1140, 899]]"
0,4,32,"[[1142, 837], [1181, 835], [1182, 856], [1140, 857]]"
0,4,33,"[[1142, 810], [1181, 808], [1182, 829], [1140, 830]]"
0,4,34,"[[1142, 773], [1181, 771], [1182, 792], [1140, 793]]"
0,4,35,"[[1142, 741], [1181, 739], [1182, 760], [1140, 761]]"
0,4,36,"[[1142, 707], [1181, 705], [1182, 726], [1140, 727]]"
0,4,37,"[[1156, 706], [1155, 665], [1176, 665], [1176, 707]]"
0,4,38,"[[1137, 706], [1136, 665], [1157, 665], [1157, 707]]"
0,4,39,"[[1119, 693], [1118, 666], [1136, 666], [1136, 694]]"
0,4,40,"[[1247, 682], [1246, 641], [1267, 641], [1267, 683]]"
0,4,41,"[[1268, 682], [1267, 641], [1288, 641], [1288, 683]]"
0,4,42,"[[1290, 682], [1289, 641], [1310, 641], [1310, 683]]"
0,4,43,"[[1315, 682], [1314, 641], [1335, 641], [1335, 683]]"
0,4,44,"[[1335, 682], [1334, 641], [1355, 641], [1355, 683]]"
0,4,45,"[[1358, 682], [1357, 641], [1378, 641], [1378, 683]]"
0,4,46,"[[1381, 682], [1380, 641], [1401, 641], [1401, 683]]"
0,4,47,"[[1402, 682], [1401, 641], [1422, 641], [1422, 683]]"
0,4,48,"[[1449, 682], [1448, 641], [1469, 641], [1469, 683]]"
0,4,49,"[[1475, 682], [1474, 641], [1495, 641], [1495, 683]]"
0,4,50,"[[1516, 683], [1515, 652], [1533, 652], [1533, 684]]"
